group,ablation_name,features,n_features,accuracy,precision,recall,f1,roc_auc,avg_precision,det_best_threshold,det_best_fpr,det_best_fnr,det_fpr_plus_fnr
LM_only,lm_avg_neg_logprob + unique_token_ratio,lm_avg_neg_logprob|unique_token_ratio,2,0.705,0.5,0.1864406779661017,0.2716049382716049,0.691729775213367,0.49950506225236424,0.2763845317091902,0.2695035460992908,0.4067796610169492,0.6762832071162399
Hybrid,compression_ratio + unique_token_ratio,compression_ratio|unique_token_ratio,2,0.725,0.6666666666666666,0.13559322033898305,0.22535211267605634,0.7145089554032936,0.5257396877247671,0.2924765450254345,0.24113475177304963,0.4406779661016949,0.6818127178747445
Hybrid,compression_ratio + repetition_ratio + unique_token_ratio,compression_ratio|repetition_ratio|unique_token_ratio,3,0.725,0.6666666666666666,0.13559322033898305,0.22535211267605634,0.7145089554032936,0.5257396877247671,0.29247655708809966,0.24113475177304963,0.4406779661016949,0.6818127178747445
Hybrid,compression_ratio + lm_perplexity + unique_token_ratio,compression_ratio|lm_perplexity|unique_token_ratio,3,0.73,0.7272727272727273,0.13559322033898305,0.22857142857142856,0.7139079216251953,0.5260685950245336,0.2939985061031976,0.24113475177304963,0.4406779661016949,0.6818127178747445
LM_only,lm_avg_neg_logprob + lm_perplexity + lm_surprisal_std + repetition_ratio + unique_token_ratio,lm_avg_neg_logprob|lm_perplexity|lm_surprisal_std|repetition_ratio|unique_token_ratio,5,0.705,0.5,0.1864406779661017,0.2716049382716049,0.6930520495251833,0.4954897832080831,0.29324425876223253,0.22695035460992907,0.4576271186440678,0.6845774732539969
LM_only,lm_perplexity + lm_surprisal_std,lm_perplexity|lm_surprisal_std,2,0.695,0.0,0.0,0.0,0.5877509316023561,0.3276597137205205,0.282580928754442,0.48226950354609927,0.288135593220339,0.7704050967664382
LM_only,lm_surprisal_std,lm_surprisal_std,1,0.705,0.0,0.0,0.0,0.5715230195937012,0.3195168835330742,0.2838470849129987,0.48936170212765956,0.288135593220339,0.7774972953479986
LM_only,lm_surprisal_std + repetition_ratio,lm_surprisal_std|repetition_ratio,2,0.705,0.0,0.0,0.0,0.5715230195937012,0.3195168835330742,0.2838469081061834,0.48936170212765956,0.288135593220339,0.7774972953479986
Hybrid,wer + lm_perplexity,wer|lm_perplexity,2,0.705,0.0,0.0,0.0,0.5697800216372161,0.36864927967777855,0.3084335870169052,0.12056737588652482,0.6610169491525424,0.7815843250390672
Hybrid,wer + lm_perplexity + repetition_ratio,wer|lm_perplexity|repetition_ratio,3,0.705,0.0,0.0,0.0,0.5697800216372161,0.36864927967777855,0.3084328753801729,0.12056737588652482,0.6610169491525424,0.7815843250390672
Hybrid,wer + lm_avg_neg_logprob + lm_surprisal_std,wer|lm_avg_neg_logprob|lm_surprisal_std,3,0.715,0.75,0.05084745762711865,0.09523809523809523,0.6290419521577113,0.44166187169467463,0.30545773082868305,0.2907801418439716,0.4915254237288136,0.7823055655727852
Hybrid,wer + lm_avg_neg_logprob,wer|lm_avg_neg_logprob,2,0.715,0.75,0.05084745762711865,0.09523809523809523,0.62952277918019,0.4372724883309248,0.3059436208205033,0.2978723404255319,0.4915254237288136,0.7893977641543455
Hybrid,wer + lm_avg_neg_logprob + lm_perplexity,wer|lm_avg_neg_logprob|lm_perplexity,3,0.715,0.75,0.05084745762711865,0.09523809523809523,0.62952277918019,0.4372724883309248,0.30597807913204866,0.2978723404255319,0.4915254237288136,0.7893977641543455
Hybrid,wer + lm_avg_neg_logprob + repetition_ratio,wer|lm_avg_neg_logprob|repetition_ratio,3,0.715,0.75,0.05084745762711865,0.09523809523809523,0.62952277918019,0.4372724883309248,0.305943571401941,0.2978723404255319,0.4915254237288136,0.7893977641543455
LM_only,lm_avg_neg_logprob + lm_surprisal_std,lm_avg_neg_logprob|lm_surprisal_std,2,0.72,0.8,0.06779661016949153,0.125,0.6283808150018031,0.4369980043957814,0.3791110710017871,0.11347517730496454,0.6779661016949152,0.7914412789998797
LM_only,lm_avg_neg_logprob,lm_avg_neg_logprob,1,0.72,0.8,0.06779661016949153,0.125,0.6275393677124655,0.4351300696423033,0.30683310412332854,0.28368794326241137,0.5084745762711864,0.7921625195335977
LM_only,lm_avg_neg_logprob + lm_perplexity,lm_avg_neg_logprob|lm_perplexity,2,0.72,0.8,0.06779661016949153,0.125,0.6275393677124655,0.4351300696423033,0.3067921051304877,0.28368794326241137,0.5084745762711864,0.7921625195335977
LM_only,lm_avg_neg_logprob + repetition_ratio,lm_avg_neg_logprob|repetition_ratio,2,0.72,0.8,0.06779661016949153,0.125,0.6275393677124655,0.4351300696423033,0.30683308912603946,0.28368794326241137,0.5084745762711864,0.7921625195335977
LM_only,lm_perplexity,lm_perplexity,1,0.705,0.0,0.0,0.0,0.6275393677124655,0.4351300696423033,0.3109508921857056,0.28368794326241137,0.5084745762711864,0.7921625195335977
LM_only,lm_perplexity + repetition_ratio,lm_perplexity|repetition_ratio,2,0.705,0.0,0.0,0.0,0.6275393677124655,0.4351300696423033,0.3109508896505684,0.28368794326241137,0.5084745762711864,0.7921625195335977
Hybrid,wer + lm_perplexity + lm_surprisal_std,wer|lm_perplexity|lm_surprisal_std,3,0.705,0.0,0.0,0.0,0.587811034980166,0.340616890282513,0.27963000034489094,0.48936170212765956,0.3050847457627119,0.7944464478903714
ASR_only,wer,wer,1,0.705,0.0,0.0,0.0,0.5137035701406419,0.3262106409502953,0.2986387737764017,0.1276595744680851,0.6949152542372882,0.8225748287053732
Hybrid,wer + repetition_ratio,wer|repetition_ratio,2,0.705,0.0,0.0,0.0,0.5137035701406419,0.3262106409502953,0.29863886617084523,0.1276595744680851,0.6949152542372882,0.8225748287053732
Hybrid,wer + lm_surprisal_std,wer|lm_surprisal_std,2,0.705,0.0,0.0,0.0,0.5713427094602717,0.3394578607795126,0.29401233367391083,0.3475177304964539,0.5084745762711864,0.8559923067676403
